#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00189  0.86269  0.014706  0.006219  0.000384     2.365
   0.00794  0.99232  0.00388  0.86908  0.013722  0.006021  0.000460     2.279
   0.02095  0.97971  0.00711  0.88176  0.012122  0.005660  0.000614     2.142
   0.03535  0.96574  0.01063  0.89721  0.010638  0.005267  0.000800     2.020
   0.05111  0.95044  0.01441  0.91515  0.009307  0.004861  0.001018     1.915
   0.06812  0.93391  0.01842  0.93484  0.008160  0.004466  0.001259     1.827
   0.08621  0.91632  0.02260  0.95533  0.007204  0.004100  0.001512     1.757
   0.10516  0.89786  0.02690  0.97584  0.006418  0.003771  0.001767     1.702
   0.12477  0.87874  0.03124  0.99576  0.005776  0.003483  0.002016     1.658
   0.14486  0.85913  0.03559  1.01475  0.005249  0.003231  0.002254     1.625
   0.16527  0.83918  0.03992  1.03275  0.004810  0.003010  0.002481     1.598
   0.18591  0.81898  0.04418  1.04974  0.004439  0.002815  0.002696     1.577
   0.20670  0.79863  0.04838  1.06586  0.004120  0.002640  0.002900     1.560
   0.22757  0.77816  0.05248  1.08120  0.003841  0.002483  0.003097     1.547
   0.24850  0.75762  0.05649  1.09592  0.003593  0.002339  0.003287     1.536
   0.26944  0.73704  0.06040  1.11010  0.003369  0.002207  0.003472     1.526
   0.29040  0.71643  0.06420  1.12388  0.003164  0.002084  0.003655     1.518
   0.31134  0.69582  0.06788  1.13729  0.002976  0.001969  0.003837     1.511
   0.33225  0.67521  0.07145  1.15047  0.002800  0.001860  0.004021     1.505
   0.35313  0.65462  0.07490  1.16340  0.002636  0.001757  0.004206     1.500
   0.37396  0.63406  0.07822  1.17622  0.002481  0.001659  0.004397     1.495
   0.39473  0.61354  0.08142  1.18894  0.002333  0.001565  0.004593     1.490
   0.41543  0.59306  0.08447  1.20156  0.002192  0.001475  0.004797     1.486
   0.43606  0.57264  0.08739  1.21422  0.002056  0.001388  0.005013     1.481
   0.45661  0.55228  0.09016  1.22677  0.001927  0.001305  0.005240     1.477
   0.47706  0.53200  0.09277  1.23942  0.001801  0.001224  0.005483     1.472
   0.49740  0.51180  0.09523  1.25203  0.001680  0.001145  0.005743     1.467
   0.51763  0.49171  0.09752  1.26470  0.001562  0.001069  0.006025     1.461
   0.53773  0.47172  0.09965  1.27738  0.001448  0.000995  0.006330     1.455
   0.55769  0.45185  0.10159  1.29000  0.001338  0.000923  0.006657     1.449
   0.57750  0.43212  0.10334  1.30264  0.001232  0.000853  0.007006     1.443
   0.59714  0.41254  0.10490  1.31507  0.001130  0.000785  0.007359     1.440
   0.61659  0.39314  0.10625  1.32722  0.001037  0.000720  0.007678     1.440
   0.63584  0.37392  0.10740  1.33879  0.000955  0.000657  0.007853     1.454
   0.65486  0.35492  0.10832  1.34951  0.000898  0.000599  0.007606     1.500
   0.67362  0.33618  0.10902  1.35925  0.000899  0.000549  0.006309     1.639
   0.69209  0.31771  0.10949  1.37334  0.001036  0.000505  0.003332     2.054
   0.71023  0.29958  0.10972  1.42058  0.001445  0.000423  0.000335     3.413
   0.72798  0.28183  0.10970  1.44680  0.001650  0.000380 -0.000232     4.339
   0.74529  0.26452  0.10945  1.45748  0.001639  0.000364 -0.000286     4.506
   0.76210  0.24772  0.10896  1.46871  0.001535  0.000347 -0.000281     4.420
   0.77832  0.23151  0.10824  1.48100  0.001378  0.000330 -0.000208     4.172
   0.79389  0.21597  0.10730  1.49478  0.001196  0.000313  0.000009     3.821
   0.80872  0.20118  0.10616  1.51140  0.000978  0.000293  0.000644     3.336
   0.82277  0.18720  0.10478  1.53100  0.000797  0.000271  0.001696     2.938
   0.83615  0.17393  0.10307  1.54586  0.000701  0.000253  0.002457     2.771
   0.84892  0.16132  0.10106  1.55637  0.000636  0.000238  0.003077     2.675
   0.86112  0.14933  0.09879  1.56325  0.000587  0.000225  0.003615     2.611
   0.87278  0.13795  0.09629  1.56685  0.000548  0.000213  0.004067     2.569
