  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2218                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0162   0.00792   0.00229  -0.0334   0.6111   0.4506
  -1.900  -0.0057   0.00787   0.00228  -0.0332   0.6054   0.4616
  -1.700   0.0151   0.00784   0.00225  -0.0328   0.5933   0.4822
  -1.600   0.0262   0.00782   0.00224  -0.0328   0.5879   0.4918
  -1.500   0.0367   0.00778   0.00223  -0.0326   0.5819   0.5018
  -1.400   0.0473   0.00779   0.00223  -0.0324   0.5758   0.5114
  -1.300   0.0577   0.00777   0.00222  -0.0323   0.5703   0.5203
  -1.200   0.0686   0.00776   0.00222  -0.0322   0.5645   0.5292
  -1.100   0.0793   0.00776   0.00221  -0.0320   0.5582   0.5370
  -1.000   0.0896   0.00776   0.00221  -0.0318   0.5521   0.5456
  -0.900   0.1007   0.00776   0.00221  -0.0317   0.5463   0.5541
  -0.800   0.1112   0.00774   0.00221  -0.0316   0.5399   0.5625
  -0.700   0.1216   0.00776   0.00221  -0.0314   0.5335   0.5714
  -0.600   0.1325   0.00775   0.00221  -0.0313   0.5277   0.5794
  -0.500   0.1431   0.00775   0.00221  -0.0311   0.5214   0.5877
  -0.400   0.1537   0.00777   0.00222  -0.0310   0.5149   0.5957
  -0.300   0.1643   0.00777   0.00223  -0.0308   0.5093   0.6034
  -0.200   0.1751   0.00777   0.00223  -0.0307   0.5035   0.6117
   0.000   0.1961   0.00780   0.00225  -0.0303   0.4914   0.6272
   0.100   0.2071   0.00780   0.00226  -0.0303   0.4860   0.6356
   0.200   0.2178   0.00781   0.00227  -0.0301   0.4799   0.6434
   0.300   0.2280   0.00783   0.00229  -0.0299   0.4738   0.6527
   0.400   0.2389   0.00785   0.00230  -0.0298   0.4684   0.6616
   0.500   0.2493   0.00784   0.00231  -0.0296   0.4625   0.6707
   0.600   0.2598   0.00786   0.00233  -0.0294   0.4563   0.6797
