  
       XFOIL         Version 6.99
  
 Calculated polar for: modified                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0593   0.00724   0.00259  -0.0611   0.8238   0.5026
  -1.900   0.0700   0.00718   0.00254  -0.0609   0.8206   0.5093
  -1.800   0.0789   0.00702   0.00249  -0.0605   0.8187   0.5401
  -1.700   0.0881   0.00694   0.00246  -0.0601   0.8151   0.5575
  -1.600   0.0976   0.00684   0.00242  -0.0597   0.8117   0.5750
  -1.500   0.1068   0.00671   0.00238  -0.0593   0.8097   0.6024
  -1.400   0.1159   0.00662   0.00236  -0.0589   0.8063   0.6216
  -1.300   0.1262   0.00657   0.00233  -0.0587   0.8018   0.6303
  -1.200   0.1353   0.00648   0.00230  -0.0582   0.7974   0.6523
  -1.100   0.1455   0.00643   0.00230  -0.0580   0.7956   0.6655
  -1.000   0.1550   0.00634   0.00225  -0.0575   0.7907   0.6839
  -0.900   0.1654   0.00632   0.00225  -0.0574   0.7863   0.6908
  -0.800   0.1754   0.00627   0.00223  -0.0571   0.7816   0.7049
  -0.700   0.1848   0.00623   0.00222  -0.0566   0.7747   0.7194
  -0.500   0.2049   0.00617   0.00221  -0.0560   0.7653   0.7441
  -0.300   0.2243   0.00616   0.00219  -0.0553   0.7489   0.7628
  -0.200   0.2344   0.00616   0.00220  -0.0550   0.7436   0.7721
  -0.100   0.2449   0.00618   0.00220  -0.0548   0.7376   0.7764
   0.000   0.2545   0.00621   0.00221  -0.0544   0.7301   0.7851
   0.100   0.2642   0.00623   0.00223  -0.0540   0.7230   0.7938
   0.200   0.2744   0.00627   0.00223  -0.0538   0.7157   0.7969
   0.300   0.2847   0.00630   0.00225  -0.0536   0.7110   0.8003
   0.400   0.2939   0.00634   0.00229  -0.0531   0.7040   0.8129
   0.500   0.3042   0.00639   0.00230  -0.0529   0.6986   0.8156
   0.600   0.3134   0.00645   0.00234  -0.0524   0.6901   0.8206
   0.700   0.3241   0.00648   0.00236  -0.0523   0.6868   0.8257
   0.800   0.3340   0.00652   0.00240  -0.0520   0.6819   0.8318
   0.900   0.3442   0.00657   0.00242  -0.0518   0.6776   0.8352
   1.000   0.3534   0.00663   0.00247  -0.0513   0.6697   0.8407
   1.100   0.3635   0.00667   0.00249  -0.0511   0.6643   0.8433
   1.200   0.3739   0.00671   0.00253  -0.0508   0.6607   0.8475
   1.300   0.3834   0.00677   0.00256  -0.0505   0.6548   0.8511
   1.400   0.3922   0.00685   0.00260  -0.0500   0.6459   0.8544
   1.600   0.4127   0.00693   0.00267  -0.0495   0.6391   0.8624
