Name = ECH 1040
Mach = 0; Re = 4000000; T.U. = 0.0; T.L. = 0.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.165	0.09846	-0.200	0.746	0.746	0.746	0.955	-1.678	0.641	-0.962
-19.5	-0.156	0.09324	-0.204	0.746	0.746	0.746	0.955	-1.678	0.554	-1.052
-19.0	-0.143	0.08800	-0.207	0.746	0.746	0.745	0.955	-1.627	0.448	-1.195
-18.5	-0.125	0.08335	-0.210	0.746	0.746	0.745	0.955	-1.502	0.401	-1.426
-18.0	-0.103	0.07891	-0.213	0.746	0.746	0.745	0.955	-1.302	0.413	-1.825
-17.5	-0.076	0.07380	-0.218	0.752	0.752	0.746	0.955	-1.033	0.466	-2.607
-17.0	-0.047	0.06447	-0.225	0.752	0.752	0.746	0.955	-0.726	1.042	-4.563
-16.5	-0.032	0.05078	-0.253	0.752	0.752	0.746	0.955	-0.640	0.822	-7.525
-16.0	0.007	0.05988	-0.256	0.752	0.752	0.746	0.955	0.114	0.310	37.652
-15.5	0.051	0.06671	-0.257	0.752	0.752	0.745	0.955	0.760	0.285	5.326
-15.0	0.097	0.06363	-0.259	0.752	0.752	0.745	0.955	1.519	0.281	2.929
-14.5	0.144	0.07147	-0.260	0.752	0.752	0.745	0.955	2.018	0.279	2.055
-14.0	0.193	0.08213	-0.262	0.752	0.752	0.745	0.955	2.349	0.295	1.606
-13.5	0.242	0.01900	-0.265	0.752	0.752	0.745	0.955	12.764	0.288	1.342
-13.0	0.293	0.02076	-0.265	0.752	0.752	0.745	0.955	14.089	0.262	1.157
-12.5	0.343	0.02112	-0.266	0.752	0.752	0.745	0.955	16.222	0.261	1.027
-12.0	0.393	0.04076	-0.267	0.752	0.752	0.745	0.955	9.631	0.261	0.929
-11.5	0.443	0.03887	-0.267	0.752	0.752	0.745	0.955	11.386	0.260	0.853
-11.0	0.493	0.03813	-0.268	0.752	0.752	0.745	0.955	12.917	0.259	0.793
-10.5	0.542	0.03851	-0.268	0.752	0.752	0.745	0.955	14.085	0.258	0.744
-10.0	0.592	0.03734	-0.268	0.752	0.752	0.745	0.955	15.863	0.257	0.703
-9.5	0.642	0.03602	-0.269	0.752	0.752	0.745	0.955	17.829	0.256	0.668
-9.0	0.692	0.03550	-0.269	0.752	0.752	0.745	0.955	19.496	0.255	0.639
-8.5	0.742	0.03612	-0.269	0.752	0.752	0.745	0.955	20.537	0.254	0.613
-8.0	0.792	0.03591	-0.269	0.752	0.752	0.745	0.955	22.042	0.254	0.590
-7.5	0.841	0.03598	-0.270	0.752	0.752	0.745	0.955	23.383	0.253	0.570
-7.0	0.891	0.03592	-0.270	0.752	0.752	0.745	0.955	24.802	0.252	0.553
-6.5	0.941	0.03569	-0.270	0.752	0.752	0.745	0.955	26.357	0.251	0.537
-6.0	0.990	0.03740	-0.270	0.752	0.752	0.745	0.955	26.476	0.250	0.522
-5.5	1.040	0.03700	-0.270	0.752	0.752	0.745	0.955	28.105	0.249	0.509
-5.0	1.089	0.03713	-0.270	0.752	0.752	0.745	0.955	29.342	0.248	0.498
-4.5	1.139	0.03675	-0.270	0.752	0.752	0.745	0.955	30.991	0.247	0.487
-4.0	1.188	0.03654	-0.269	0.752	0.752	0.745	0.955	32.525	0.247	0.477
-3.5	1.238	0.03679	-0.269	0.752	0.752	0.745	0.955	33.643	0.246	0.467
-3.0	1.284	0.03624	-0.269	0.752	0.752	0.745	0.955	35.429	0.244	0.459
-2.5	1.321	0.03619	-0.269	0.752	0.752	0.745	0.955	36.502	0.241	0.453
-2.0	1.355	0.03730	-0.268	0.752	0.752	0.745	0.955	36.316	0.239	0.448
-1.5	1.384	0.03752	-0.268	0.752	0.752	0.745	0.955	36.888	0.235	0.444
-1.0	1.408	0.03794	-0.268	0.752	0.752	0.745	0.955	37.117	0.222	0.440
-0.5	1.415	0.03841	-0.267	0.752	0.752	0.745	0.955	36.847	0.366	0.439
0.0	1.235	0.04379	-0.247	0.752	0.752	0.745	0.955	28.194	0.353	0.450
0.5	1.225	0.04478	-0.248	0.752	0.752	0.745	0.955	27.358	0.312	0.452
1.0	1.204	0.04665	-0.246	0.752	0.752	0.745	0.955	25.818	0.303	0.454
1.5	1.180	0.04861	-0.245	0.752	0.752	0.745	0.955	24.272	0.272	0.458
2.0	1.149	0.05067	-0.244	0.752	0.752	0.745	0.955	22.677	0.263	0.463
2.5	1.114	0.05294	-0.244	0.752	0.752	0.745	0.955	21.046	0.263	0.469
3.0	1.075	0.05654	-0.243	0.752	0.752	0.745	0.955	19.006	0.261	0.476
3.5	1.033	0.05794	-0.243	0.752	0.752	0.745	0.955	17.833	0.249	0.486
4.0	0.990	0.06140	-0.243	0.758	0.758	0.745	0.955	16.125	0.250	0.496
4.5	0.946	0.06549	-0.243	0.758	0.758	0.745	0.955	14.446	0.254	0.507
5.0	0.902	0.07067	-0.243	0.758	0.758	0.745	0.955	12.761	0.253	0.520
5.5	0.859	0.07088	-0.243	0.758	0.758	0.745	0.955	12.111	0.252	0.533
6.0	0.816	0.07973	-0.243	0.758	0.758	0.745	0.955	10.237	0.255	0.548
6.5	0.775	0.08699	-0.243	0.758	0.758	0.745	0.955	8.915	0.258	0.563
7.0	0.736	0.09648	-0.242	0.758	0.758	0.745	0.955	7.634	0.258	0.579
7.5	0.700	0.10051	-0.242	0.758	0.758	0.745	0.955	6.961	0.257	0.596
