Name = ECH 1040
Mach = 0; Re = 4000000; T.U. = 0.0; T.L. = 0.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.297	0.11728	-0.036	0.081	0.081	0.749	0.015	-2.530	0.304	0.128
-19.5	-0.312	0.11337	-0.035	0.053	0.053	0.749	0.014	-2.752	0.300	0.136
-19.0	-0.328	0.10752	-0.035	0.053	0.053	0.749	0.014	-3.049	0.296	0.144
-18.5	-0.344	0.10226	-0.034	0.053	0.053	0.749	0.014	-3.365	0.292	0.151
-18.0	-0.361	0.09650	-0.033	0.053	0.053	0.749	0.014	-3.738	0.292	0.158
-17.5	-0.377	0.09231	-0.033	0.053	0.053	0.749	0.014	-4.089	0.301	0.164
-17.0	-0.394	0.08769	-0.032	0.053	0.053	0.749	0.013	-4.494	0.302	0.170
-16.5	-0.410	0.08213	-0.031	0.053	0.053	0.749	0.013	-4.998	0.304	0.175
-16.0	-0.426	0.07855	-0.030	0.053	0.053	0.749	0.012	-5.426	0.316	0.180
-15.5	-0.441	0.07484	-0.029	0.032	0.032	0.749	0.011	-5.892	0.308	0.185
-15.0	-0.455	0.07070	-0.028	0.032	0.032	0.749	0.012	-6.430	0.292	0.188
-14.5	-0.467	0.06654	-0.028	0.032	0.032	0.749	0.012	-7.011	0.296	0.190
-14.0	-0.476	0.06242	-0.027	0.032	0.032	0.749	0.012	-7.629	0.307	0.193
-13.5	-0.483	0.05838	-0.027	0.032	0.032	0.749	0.013	-8.281	0.292	0.195
-13.0	-0.488	0.05371	-0.027	0.032	0.032	0.749	0.015	-9.081	0.361	0.195
-12.5	-0.489	0.05043	-0.026	0.017	0.017	0.749	0.015	-9.689	-0.015	0.196
-12.0	-0.486	0.04708	-0.026	0.017	0.017	0.749	0.018	-10.312	0.311	0.196
-11.5	-0.477	0.04367	-0.027	0.017	0.017	0.749	0.024	-10.923	0.309	0.194
-11.0	-0.465	0.04037	-0.027	0.017	0.017	0.749	0.030	-11.520	0.395	0.191
-10.5	-0.452	0.03578	-0.031	0.017	0.017	0.749	0.061	-12.644	-0.331	0.183
-10.0	-0.502	0.01013	-0.049	0.017	0.017	0.749	0.746	-49.519	-0.458	0.153
-9.5	-0.476	0.00981	-0.047	0.008	0.008	0.749	0.746	-48.483	0.188	0.151
-9.0	-0.446	0.00952	-0.045	0.008	0.008	0.749	0.746	-46.857	0.194	0.149
-8.5	-0.413	0.00924	-0.043	0.008	0.008	0.749	0.746	-44.747	0.198	0.145
-8.0	-0.378	0.00900	-0.042	0.008	0.008	0.749	0.746	-42.015	0.202	0.140
-7.5	-0.341	0.00879	-0.040	0.008	0.008	0.749	0.746	-38.753	0.204	0.133
-7.0	-0.301	0.00860	-0.038	0.003	0.003	0.749	0.746	-35.016	0.206	0.123
-6.5	-0.260	0.00843	-0.036	0.003	0.003	0.749	0.746	-30.836	0.207	0.110
-6.0	-0.217	0.00830	-0.035	0.003	0.003	0.749	0.746	-26.202	0.208	0.091
-5.5	-0.174	0.00818	-0.033	0.003	0.003	0.749	0.746	-21.296	0.208	0.062
-5.0	-0.131	0.00813	-0.031	0.001	0.001	0.749	0.747	-16.073	0.209	0.013
-4.5	-0.087	0.00805	-0.029	0.001	0.001	0.749	0.747	-10.749	0.209	-0.086
-4.0	-0.042	0.00800	-0.027	0.001	0.001	0.749	0.747	-5.283	0.209	-0.395
-3.5	0.002	0.00797	-0.025	0.001	0.001	0.749	0.747	0.272	0.209	11.956
-3.0	0.047	0.00794	-0.024	0.000	0.000	0.749	0.747	5.880	0.209	0.755
-2.5	0.091	0.00794	-0.022	0.000	0.000	0.749	0.747	11.482	0.208	0.488
-2.0	0.136	0.00797	-0.020	0.000	0.000	0.749	0.747	17.015	0.208	0.396
