ECH 1040
Transition
Upper Surface = 0 %
Lower Surface = 0 %
Mach	0
Element:	1
Pressure Coefficient Distributions
	Angle of Attack	2.18
	Cp*	-2.42
	M cr.	0.45
Element	1
x	y
0.74906	-0.02179	0.95061
0.74409	-0.02031	-0.20610
0.73501	-0.01843	-0.06307
0.72122	-0.01617	0.01610
0.70201	-0.01258	-0.01270
0.67667	-0.00765	-0.06572
0.64461	-0.00143	-0.12313
0.60556	0.00611	-0.19511
0.55968	0.01497	-0.30968
0.50765	0.02442	-0.54226
0.45061	0.03014	-0.51475
0.39040	0.03428	-0.54334
0.32916	0.03695	-0.60720
0.26918	0.03736	-0.63720
0.21272	0.03580	-0.65327
0.16173	0.03293	-0.68741
0.11764	0.02915	-0.73608
0.08129	0.02489	-0.81327
0.05284	0.02047	-0.92139
0.03187	0.01622	-1.10619
0.01746	0.01229	-1.37660
0.00841	0.00884	-1.86181
0.00335	0.00580	-2.42216
0.00098	0.00313	-2.23350
0.00015	0.00117	-1.55204
0.00000	0.00000	-0.89493
0.00009	-0.00104 -0.22620
0.00081	-0.00294 0.64591
0.00302	-0.00553 0.99871
0.00790	-0.00858 0.87549
0.01675	-0.01206 0.66700
0.03093	-0.01600 0.48804
0.05166	-0.02025 0.35163
0.07985	-0.02469 0.24264
0.11595	-0.02898 0.16062
0.15981	-0.03279 0.09566
0.21064	-0.03571 0.04724
0.26701	-0.03733 0.00898
0.32700	-0.03701 -0.00226
0.38840	-0.03439 0.03166
0.44886	-0.03021 0.09582
0.50619	-0.02591 0.19783
0.55852	-0.02504 0.13641
0.60468	-0.02431 0.12916
0.64396	-0.02368 0.12438
0.67622	-0.02313 0.12472
0.70172	-0.02268 0.13073
0.72103	-0.02249 0.12187
0.73489	-0.02266 0.01611
0.74403	-0.02237 -0.11548
0.74906	-0.02179 0.95061
