v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[W]	[N]	[Nm]
0.000	0.000	0.091434	0.031961	0.000063	9.999999	9.999999	0.01	0.00	11.00 	0.00	4005	12.270	2.0704	0.029257
0.050	0.016	0.102048	0.027103	0.102889	9.999999	9.999999	18.83	17.55	30.00 	0.85	4005	10.405	2.3108	0.024810
0.100	0.032	0.083455	0.032487	0.198454	9.999999	9.999999	25.69	34.61	4.00 	1.70	4005	12.472	1.8897	0.029738
0.150	0.048	0.077745	0.032426	0.297792	8.798964	9.999999	35.96	47.94	1.00 	2.54	4005	12.449	1.7605	0.029682
0.200	0.064	0.070446	0.031595	0.399122	4.484758	9.999999	44.59	59.30	0.00	3.39	4005	12.130	1.5952	0.028922
0.250	0.080	0.063607	0.030667	0.501886	2.591597	4.997978	51.85	68.51	0.00	4.24	4005	11.774	1.4403	0.028073
0.300	0.095	0.056193	0.029237	0.608045	1.589935	2.757419	57.66	76.09	0.00	5.09	4005	11.224	1.2724	0.026763
0.350	0.111	0.048182	0.027235	0.719517	1.001593	1.617600	61.92	82.31	0.00	5.93	4005	10.456	1.0910	0.024931
0.400	0.127	0.039661	0.024614	0.839116	0.631226	0.979376	64.45	87.38	0.00	6.78	4005	9.450	0.8981	0.022532
0.450	0.143	0.030760	0.021342	0.971332	0.386815	0.596386	64.86	91.48	0.00	7.63	4005	8.193	0.6965	0.019536
0.500	0.159	0.021611	0.017415	1.124049	0.220125	0.354776	62.05	94.77	0.00	8.48	4005	6.686	0.4894	0.015942
0.510	0.162	0.019748	0.016546	1.158323	0.193340	0.317637	60.87	95.34	0.00	8.65	4005	6.352	0.4472	0.015146
0.520	0.166	0.017825	0.015678	1.193832	0.167867	0.283943	59.12	95.90	1.00	8.82	4005	6.019	0.4036	0.014352
0.530	0.169	0.015926	0.014747	1.231787	0.144374	0.252240	57.24	96.43	1.00	8.99	4005	5.662	0.3606	0.013499
0.540	0.172	0.014008	0.013782	1.272125	0.122332	0.222884	54.89	96.94	1.00	9.16	4005	5.291	0.3172	0.012616
0.550	0.175	0.012074	0.012784	1.315310	0.101637	0.195671	51.94	97.43	1.00	9.32	4005	4.908	0.2734	0.011703
0.560	0.178	0.010129	0.011756	1.361862	0.082252	0.170471	48.25	97.90	1.00	9.49	4005	4.513	0.2294	0.010762
0.570	0.181	0.008169	0.010695	1.412666	0.064025	0.147059	43.54	98.34	1.00	9.66	4005	4.106	0.1850	0.009790
0.580	0.185	0.006170	0.009587	1.469248	0.046709	0.125118	37.33	98.78	1.00	9.83	4005	3.680	0.1397	0.008775
0.590	0.188	0.004184	0.008459	1.532439	0.030606	0.104888	29.18	99.19	1.00	10.00	4005	3.248	0.0947	0.007744
0.600	0.191	0.002173	0.007293	1.605369	0.015373	0.085974	17.88	99.59	1.00	10.17	4005	2.800	0.0492	0.006676
0.610	0.194	0.000165	0.006101	1.691405	0.001130	0.068448	1.65	99.97	1.00	10.34	4005	2.342	0.0037	0.005585
0.620	0.197	-0.001898	0.004850	1.799870	-0.012571	0.051822	0.00	99.99	1.00	10.51	4005	1.862	-0.0430	0.004440
0.630	0.201	-0.003939	0.003586	1.942785	-0.025270	0.036517	0.00	99.99	1.00	10.68	4005	1.377	-0.0892	0.003282
0.640	0.204	-0.005993	0.002286	2.159548	-0.037259	0.022207	0.00	99.99	1.00	10.85	4005	0.878	-0.1357	0.002093
0.650	0.207	-0.008119	0.000913	2.635328	-0.048937	0.008464	0.00	99.99	1.00	11.02	4005	0.350	-0.1839	0.000836
0.660	0.210	-0.010179	-0.000444	3.090429	-0.059506	-0.003935	0.39	56.54	1.00	11.19	4005	-0.171	-0.2305	-0.000407

