v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[W]	[N]	[Nm]
0.000	0.000	0.132701	0.046381	0.000058	9.999999	9.999999	0.01	0.00	11.00 	0.00	3653	13.51	2.5000	0.03532
0.050	0.016	0.145115	0.038068	0.096130	9.999999	9.999999	19.06	14.87	26.00 	0.74	3493	9.70	2.5000	0.02651
0.100	0.032	0.110021	0.047020	0.184307	9.999999	9.999999	23.40	30.87	1.00 	1.70	4012	18.15	2.5000	0.04319
0.150	0.048	0.102166	0.046464	0.277121	9.999999	9.999999	32.98	43.43	0.00 	2.64	4163	20.04	2.5000	0.04596
0.200	0.064	0.092383	0.044895	0.372040	5.881304	9.999999	41.16	54.54	0.00 	3.71	4378	22.52	2.5000	0.04911
0.250	0.080	0.083273	0.043181	0.468684	3.392841	7.037484	48.21	63.91	0.00	4.88	4612	25.31	2.5000	0.05241
0.300	0.095	0.073524	0.040862	0.568667	2.080309	3.853818	53.98	71.90	0.00	6.23	4908	28.87	2.5000	0.05617
0.350	0.111	0.063224	0.037905	0.673487	1.314269	2.251290	58.38	78.68	0.00	7.84	5292	33.58	2.5000	0.06059
0.400	0.127	0.052326	0.034225	0.785581	0.832792	1.361773	61.16	84.40	0.00	9.85	5818	40.27	2.5000	0.06610
0.450	0.143	0.040727	0.029687	0.909283	0.512145	0.829604	61.73	89.23	0.00	12.56	6594	50.87	2.5000	0.07367
0.500	0.159	0.028620	0.024283	1.051747	0.291519	0.494680	58.93	93.27	0.00	16.65	7866	70.63	2.5000	0.08575
0.510	0.162	0.026145	0.023094	1.083600	0.255970	0.443338	57.74	93.99	0.00	17.77	8230	76.94	2.5000	0.08927
0.520	0.166	0.023652	0.021869	1.116961	0.222738	0.396055	56.24	94.69	0.00	19.05	8653	84.67	2.5000	0.09345
0.530	0.169	0.021096	0.020583	1.152326	0.191244	0.352059	54.32	95.37	0.00	20.56	9162	94.61	2.5000	0.09860
0.540	0.172	0.018612	0.019305	1.189209	0.162537	0.312203	52.06	96.01	0.00	22.30	9754	107.08	2.5000	0.10483
0.550	0.175	0.016111	0.017991	1.228440	0.135624	0.275357	49.25	96.62	0.00	24.41	10484	123.90	2.5000	0.11285
0.560	0.178	0.013509	0.016682	1.269812	0.109693	0.241891	45.35	97.23	1.00	27.14	11450	149.64	2.5000	0.12480
0.570	0.181	0.010939	0.015277	1.315435	0.085740	0.210060	40.82	97.81	1.00	30.70	12723	188.04	2.5000	0.14113
0.580	0.185	0.008332	0.013821	1.365592	0.063073	0.180381	34.97	98.37	1.00	35.80	14579	255.93	2.5000	0.16764
0.590	0.188	0.005713	0.012329	1.421243	0.041796	0.152863	27.34	98.90	1.00	43.97	17606	402.06	2.5000	0.21808
0.600	0.191	0.003068	0.010791	1.484363	0.021701	0.127216	17.06	99.42	1.00	61.03	24026	894.39	2.5000	0.35548

