v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[N]	[Nm]
0.000	0.000	0.091434	0.031961	0.000063	9.999999	9.999999	0.01	0.00	11.00 	0.00	4401	0.0163	2.5000	0.03533
0.050	0.016	0.102048	0.027103	0.102889	9.999999	9.999999	18.83	17.55	30.00 	0.88	4166	0.0117	2.5000	0.02684
0.100	0.032	0.083455	0.032487	0.198454	9.999999	9.999999	25.69	34.61	4.00 	1.95	4606	0.0190	2.5000	0.03934
0.150	0.048	0.077745	0.032426	0.297792	8.798964	9.999999	35.96	47.94	1.00 	3.03	4773	0.0211	2.5000	0.04215
0.200	0.064	0.070446	0.031595	0.399122	4.484758	9.999999	44.59	59.30	0.00	4.25	5014	0.0238	2.5000	0.04533
0.250	0.080	0.063607	0.030667	0.501886	2.591597	4.997978	51.85	68.51	0.00	5.58	5276	0.0269	2.5000	0.04873
0.300	0.095	0.056193	0.029237	0.608045	1.589935	2.757419	57.66	76.09	0.00	7.13	5614	0.0309	2.5000	0.05258
0.350	0.111	0.048182	0.027235	0.719517	1.001593	1.617600	61.92	82.31	0.00	8.98	6063	0.0363	2.5000	0.05713
0.400	0.127	0.039661	0.024614	0.839116	0.631226	0.979376	64.45	87.38	0.00	11.32	6682	0.0439	2.5000	0.06272
0.450	0.143	0.030760	0.021342	0.971332	0.386815	0.596386	64.86	91.48	0.00	14.45	7588	0.0557	2.5000	0.07012
0.500	0.159	0.021611	0.017415	1.124049	0.220125	0.354776	62.05	94.77	0.00	19.16	9052	0.0772	2.5000	0.08144
0.510	0.162	0.019748	0.016546	1.158323	0.193340	0.317637	60.87	95.34	0.00	20.45	9470	0.0840	2.5000	0.08468
0.520	0.166	0.017825	0.015678	1.193832	0.167867	0.283943	59.12	95.90	1.00	21.94	9967	0.0928	2.5000	0.08889
0.530	0.169	0.015926	0.014747	1.231787	0.144374	0.252240	57.24	96.43	1.00	23.66	10545	0.1033	2.5000	0.09358
0.540	0.172	0.014008	0.013782	1.272125	0.122332	0.222884	54.89	96.94	1.00	25.70	11243	0.1171	2.5000	0.09943
0.550	0.175	0.012074	0.012784	1.315310	0.101637	0.195671	51.94	97.43	1.00	28.20	12111	0.1357	2.5000	0.10701
0.560	0.178	0.010129	0.011756	1.361862	0.082252	0.170471	48.25	97.90	1.00	31.35	13222	0.1624	2.5000	0.11730
0.570	0.181	0.008169	0.010695	1.412666	0.064025	0.147059	43.54	98.34	1.00	35.53	14724	0.2040	2.5000	0.13232
0.580	0.185	0.006170	0.009587	1.469248	0.046709	0.125118	37.33	98.78	1.00	41.60	16941	0.2786	2.5000	0.15702
0.590	0.188	0.004184	0.008459	1.532439	0.030606	0.104888	29.18	99.19	1.00	51.39	20574	0.4403	2.5000	0.20435
0.600	0.191	0.002173	0.007293	1.605369	0.015373	0.085974	17.88	99.59	1.00	72.50	28545	1.0137	2.5000	0.33912

