v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[W]	[N]	[Nm]
0.000	0.000	0.047526	0.016602	0.000071	9.999999	9.999999	0.01	0.02	12.00 	0.00	1526	11.28	2.5000	0.07061
0.050	0.016	0.052309	0.014964	0.115867	9.999999	9.999999	17.48	23.74	11.00 	0.62	1455	8.81	2.5000	0.05782
0.100	0.032	0.049008	0.016356	0.227648	9.999999	9.999999	29.96	42.54	11.00 	1.27	1503	10.62	2.5000	0.06746
0.150	0.048	0.046395	0.016707	0.340027	5.250887	9.999999	41.66	56.80	7.00 	1.96	1545	11.77	2.5000	0.07278
0.200	0.064	0.042560	0.016619	0.453845	2.709431	5.290070	51.22	67.98	4.00	2.73	1613	13.33	2.5000	0.07893
0.250	0.080	0.038722	0.016437	0.568558	1.577684	2.678838	58.89	76.38	0.00	3.58	1691	15.19	2.5000	0.08580
0.300	0.095	0.034228	0.015949	0.686397	0.968458	1.504196	64.38	82.86	0.00	4.57	1798	17.74	2.5000	0.09418
0.350	0.111	0.029267	0.015043	0.810216	0.608401	0.893455	68.10	87.84	0.00	5.76	1945	21.16	2.5000	0.10389
0.400	0.127	0.023994	0.013710	0.943311	0.381882	0.545488	70.01	91.65	0.00	7.27	2148	25.97	2.5000	0.11549
0.450	0.143	0.018506	0.011942	1.090922	0.232722	0.333731	69.73	94.55	0.00	9.32	2446	33.40	2.5000	0.13044
0.460	0.146	0.017386	0.011535	1.122940	0.209236	0.301768	69.34	95.04	0.00	9.83	2523	35.43	2.5000	0.13410
0.470	0.150	0.016259	0.011108	1.156043	0.187432	0.272437	68.80	95.51	0.00	10.38	2609	37.73	2.5000	0.13808
0.480	0.153	0.015128	0.010663	1.190325	0.167197	0.245524	68.10	95.95	0.00	10.99	2705	40.36	2.5000	0.14247
0.490	0.156	0.013963	0.010212	1.225663	0.148095	0.221043	67.00	96.37	2.00	11.68	2815	43.58	2.5000	0.14783
0.500	0.159	0.012811	0.009726	1.262937	0.130490	0.198140	65.86	96.77	2.00	12.44	2939	47.24	2.5000	0.15346
0.510	0.162	0.011652	0.009221	1.302018	0.114082	0.177009	64.45	97.15	2.00	13.31	3082	51.62	2.5000	0.15995
0.520	0.166	0.010485	0.008694	1.343259	0.098740	0.157452	62.71	97.51	2.00	14.30	3249	57.03	2.5000	0.16760
0.530	0.169	0.009311	0.008147	1.387008	0.084405	0.139347	60.57	97.86	2.00	15.47	3448	63.86	2.5000	0.17686
0.540	0.172	0.008131	0.007580	1.433716	0.071009	0.122578	57.93	98.18	2.00	16.87	3689	72.79	2.5000	0.18842
0.550	0.175	0.006946	0.006992	1.484032	0.058468	0.107016	54.64	98.49	2.00	18.59	3992	85.06	2.5000	0.20348
0.560	0.178	0.005753	0.006383	1.538822	0.046712	0.092550	50.47	98.79	2.00	20.80	4386	103.01	2.5000	0.22426
0.570	0.181	0.004552	0.005751	1.599276	0.035675	0.079081	45.11	99.07	2.00	23.80	4931	131.88	2.5000	0.25539
0.580	0.185	0.003330	0.005090	1.667568	0.025211	0.066432	37.95	99.33	2.00	28.31	5765	186.49	2.5000	0.30892
0.590	0.188	0.002107	0.004409	1.745757	0.015411	0.054667	28.19	99.59	2.00	36.21	7248	321.11	2.5000	0.42304

