v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[W]	[N]	[Nm]
0.000	0.000	0.024260	0.008474	0.000082	9.999999	9.999999	0.01	0.03	12.00 	0.00	534	7.90	2.5000	0.14120
0.050	0.016	0.027449	0.007768	0.132101	9.999999	9.999999	17.67	31.23	20.00 	0.43	502	6.01	2.5000	0.11440
0.100	0.032	0.026596	0.008000	0.262651	6.772618	9.999999	33.24	52.62	15.00 	0.86	510	6.49	2.5000	0.12160
0.150	0.048	0.025066	0.008145	0.392562	2.836917	6.145849	46.16	67.38	10.00	1.33	525	7.23	2.5000	0.13137
0.200	0.064	0.023720	0.008355	0.520759	1.510035	2.659600	56.78	77.15	7.00	1.83	540	8.05	2.5000	0.14240
0.250	0.080	0.021794	0.008448	0.649520	0.887984	1.376760	64.50	84.01	4.00	2.38	563	9.24	2.5000	0.15669
0.300	0.095	0.019399	0.008328	0.781648	0.548876	0.785465	69.88	88.88	1.00	3.03	597	10.85	2.5000	0.17355
0.350	0.111	0.016603	0.007969	0.919996	0.345138	0.473310	72.92	92.40	1.00	3.83	645	13.12	2.5000	0.19403
0.400	0.127	0.013529	0.007317	1.069539	0.215328	0.291124	73.96	94.96	1.00	4.84	715	16.37	2.5000	0.21862
0.450	0.143	0.010358	0.006396	1.236020	0.130248	0.178746	72.87	96.81	1.00	6.23	817	21.37	2.5000	0.24965
0.460	0.146	0.009715	0.006180	1.272226	0.116911	0.161672	72.31	97.11	1.00	6.57	844	22.72	2.5000	0.25715
0.470	0.150	0.009056	0.005958	1.309434	0.104390	0.146123	71.44	97.40	2.00	6.96	874	24.34	2.5000	0.26596
0.480	0.153	0.008405	0.005718	1.348335	0.092895	0.131654	70.56	97.67	2.00	7.37	907	26.13	2.5000	0.27500
0.490	0.156	0.007751	0.005466	1.388886	0.082205	0.118304	69.49	97.93	2.00	7.84	945	28.20	2.5000	0.28507
0.500	0.159	0.007093	0.005201	1.431346	0.072244	0.105964	68.18	98.17	2.00	8.36	988	30.66	2.5000	0.29647
0.510	0.162	0.006432	0.004926	1.475968	0.062975	0.094557	66.60	98.39	2.00	8.96	1037	33.62	2.5000	0.30957
0.520	0.166	0.005769	0.004638	1.523151	0.054327	0.083991	64.68	98.60	2.00	9.64	1095	37.27	2.5000	0.32499
0.530	0.169	0.005103	0.004338	1.573330	0.046261	0.074198	62.35	98.80	2.00	10.45	1164	41.90	2.5000	0.34364
0.540	0.172	0.004435	0.004026	1.627127	0.038726	0.065106	59.48	98.99	2.00	11.42	1249	48.00	2.5000	0.36700
0.550	0.175	0.003763	0.003701	1.685350	0.031677	0.056652	55.92	99.17	2.00	12.63	1356	56.46	2.5000	0.39763
0.560	0.178	0.003090	0.003365	1.749014	0.025089	0.048792	51.42	99.34	2.00	14.19	1496	68.98	2.5000	0.44025
0.570	0.181	0.002417	0.003018	1.819423	0.018946	0.041497	45.66	99.50	2.00	16.33	1692	89.40	2.5000	0.50469
0.580	0.185	0.001726	0.002649	1.900247	0.013067	0.034574	37.80	99.65	2.00	19.66	2002	130.04	2.5000	0.62035
0.590	0.188	0.001045	0.002275	1.992802	0.007648	0.028205	27.12	99.80	2.00	25.70	2572	236.95	2.5000	0.87962

